TH_B-CHP-IND   18.8
TH_B-CHP-L     21.0
TH_B-CHP-M     24.8
TH_B-CHP-S     30.9
TH_BG-IC-CHP  155.9
TH_W-CHP      -63.2
TH_R-CHP        5.5
TH_NGCC-CHP-L  57.9
TH_NGCC-CHP-M  74.1
TH_NG-IC-CHP   83.4
TH_OCGT       152.5
TH_FST        124.5
