TH_B-CHP-IND.biomass  1255
TH_B-CHP-L.biomass    1318
TH_B-CHP-M.biomass     603
TH_B-CHP-S.biomass     401
TH_BG-IC-CHP.biogas     21
TH_W-CHP.waste         315
TH_R-CHP.rdf           385
TH_NGCC-CHP-L.gas      701
TH_NGCC-CHP-M.gas       54
TH_NG-IC-CHP.gas        13
TH_OCGT.oil           1579
TH_FST.oilgas          905
